time,dt,error,p,i,d
1763500374.8204405,0.05829906463623047,[-0.23359375 -0.00625   ],[-0.14015625 -0.00375   ],[0.77949998 0.07618293],[-0.16805451 -1.08397442]
1763500374.8786118,0.05817127227783203,[-0.23798676 -0.02183139],[-0.14279205 -0.01309883],[0.7504276  0.07351601],[-0.16614063 -0.58927794]
1763500374.9371467,0.058534860610961914,[-0.24686375 -0.05155691],[-0.14811825 -0.03093414],[0.72008231 0.06717847],[-0.33363675 -1.11721704]
1763500374.995498,0.05835127830505371,[-0.24169469 -0.07083333],[-0.14501681 -0.0425    ],[0.69046561 0.05849872],[ 0.19488737 -0.72677315]
1763500375.053402,0.05790400505065918,[-0.23362451 -0.08429159],[-0.1401747  -0.05057495],[0.66205724 0.048249  ],[ 0.30661786 -0.51133172]
1763500375.1112392,0.05783724784851074,[-0.23149376 -0.08430672],[-0.13889626 -0.05058403],[0.63394042 0.03800925],[ 0.08104886 -0.00057557]
1763500375.1675792,0.05633997917175293,[-0.22672305 -0.08656534],[-0.13603383 -0.0519392 ],[0.60711592 0.02776736],[ 0.1862897 -0.088196 ]
1763500375.2246614,0.057082176208496094,[-0.22421875 -0.08333333],[-0.13453125 -0.05      ],[0.58023824 0.01777798],[0.09651809 0.12456436]
1763500375.2820156,0.05735421180725098,[-0.22300053 -0.07258123],[-0.13380032 -0.04354874],[0.5533792  0.00903602],[0.04672877 0.41243061]
1763500375.3395147,0.05749917030334473,[-0.22265625 -0.06875   ],[-0.13359375 -0.04125   ],[0.52649384 0.00073458],[0.01317251 0.14658822]
1763500375.3992054,0.05969071388244629,[-0.22421875 -0.05208333],[-0.13453125 -0.03125   ],[ 0.49838791 -0.00579409],[-0.05758852  0.61427757]
1763500375.4563417,0.05713629722595215,[-0.22890625 -0.03125   ],[-0.13734375 -0.01875   ],[ 0.47092232 -0.00954366],[-0.18048947  0.80217542]
1763500375.5136216,0.05727982521057129,[-0.23515625 -0.00520833],[-0.14109375 -0.003125  ],[ 0.44263593 -0.01017016],[-0.24004962  1.00020673]
1763500375.5730565,0.05943489074707031,[-0.23828125  0.00208333],[-0.14296875  0.00125   ],[ 0.41289527 -0.00991013],[-0.1156728   0.26990319]
1763500375.6331623,0.06010580062866211,[-0.24681492  0.02395833],[-0.14808895  0.014375  ],[ 0.38174175 -0.00688606],[-0.3123504   0.80067147]
1763500375.692728,0.05956578254699707,[-0.23781548  0.03706036],[-0.14268929  0.02223621],[ 0.35199385 -0.00225025],[0.33238504 0.48390954]
1763500375.750454,0.05772590637207031,[-0.2323678  0.04375  ],[-0.13942068  0.02625   ],[0.3238252  0.00305332],[0.20761705 0.25494994]
1763500375.8073423,0.05688834190368652,[-0.22546782  0.05100187],[-0.13528069  0.03060112],[0.29688957 0.00914628],[0.2668376  0.28044598]
1763500375.864372,0.05702972412109375,[-0.21796875  0.05625   ],[-0.13078125  0.03375   ],[0.27078511 0.01588292],[0.28928712 0.20245396]
1763500375.9212773,0.056905269622802734,[-0.21048079  0.0625    ],[-0.12628847  0.0375    ],[0.24563243 0.02335174],[0.28949028 0.24162964]
1763500375.97777,0.05649280548095703,[-0.20078125  0.06041667],[-0.12046875  0.03625   ],[0.22181277 0.03051926],[ 0.37772912 -0.08113127]
1763500376.0344357,0.056665658950805664,[-0.19631271  0.06181663],[-0.11778763  0.03708998],[0.19845197 0.03787531],[0.17348744 0.05435244]
1763500376.091961,0.0575251579284668,[-0.18620296  0.06099313],[-0.11172177  0.03659588],[0.17595813 0.04524345],[ 0.38663898 -0.03149396]
1763500376.1491907,0.05722975730895996,[-0.17578125  0.05416667],[-0.10546875  0.0325    ],[0.1548323  0.05175334],[ 0.4006264 -0.2624198]
1763500376.2073755,0.05818486213684082,[-0.17097888  0.05248162],[-0.10258733  0.03148897],[0.13394069 0.05816597],[ 0.18158012 -0.06371251]
1763500376.2660806,0.05870509147644043,[-0.16096473  0.04677372],[-0.09657884  0.02806423],[0.11409685 0.06393227],[ 0.37528492 -0.21390614]
1763500376.3248608,0.05878019332885742,[-0.15225086  0.04016609],[-0.09135052  0.02409966],[0.09530325 0.06889031],[ 0.32613883 -0.24730748]
1763500376.3840241,0.05916333198547363,[-0.14671741  0.03158738],[-0.08803044  0.01895243],[0.07707464 0.07281482],[ 0.20576267 -0.31900114]
1763500376.4434159,0.05939173698425293,[-0.13890085  0.0240661 ],[-0.08334051  0.01443966],[0.05975056 0.07581641],[ 0.28954224 -0.27860467]
1763500376.502659,0.059243202209472656,[-0.13046875  0.01354167],[-0.07828125  0.008125  ],[0.04351884 0.07750113],[ 0.31312664 -0.39082543]
1763500376.562539,0.05988001823425293,[-0.12173309 -0.00019318],[-0.07303986 -0.00011591],[0.02821115 0.07747684],[ 0.32094921 -0.50462023]
1763500376.6219492,0.05941009521484375,[-0.11484375 -0.01145833],[-0.06890625 -0.006875  ],[0.0138831  0.07604729],[ 0.2551175  -0.41715691]
1763500376.6813154,0.05936622619628906,[-0.11231399 -0.01770833],[-0.06738839 -0.010625  ],[-0.00011898  0.0738396 ],[ 0.09374827 -0.23161317]
1763500376.7405143,0.059198856353759766,[-0.10716858 -0.02544289],[-0.06430115 -0.01526573],[-0.01344192  0.07067661],[ 0.19121813 -0.28743827]
1763500376.7996492,0.05913496017456055,[-0.10307474 -0.03916893],[-0.06184484 -0.02350136],[-0.02624209  0.06581247],[ 0.15230319 -0.51065049]
1763500376.8589318,0.059282541275024414,[-0.10140085 -0.0446839 ],[-0.06084051 -0.02681034],[-0.03886582  0.06024963],[ 0.06211873 -0.20466291]
